role,company_name,hiring_badge,location,duration,stipend_perMonth
Creative Design,Aambr Innovise Private Limited,Not hiring,Work from home,3 Months," 8,500 "
Content Writing,PlacesAroundPune,Not hiring,Work from home,6 Months," 5,000 "
Graphic Design,Grace Design Lab,Not hiring,Work from home,3 Months," 4,000 "
Web Development,Career Grove 24,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 10,000  +  Incentives"
Administration,Mayoor School Of Music,Not hiring,Noida,3 Months," 7,000-10,000 "
Video Editing/Making,Deyome Designs Inc.,Not hiring,Work from home,3 Months," 20,000 "
Content Writing,Zealopus,Not hiring,Work from home,4 Months," 7,000 "
Fashion Consultant,Virtual Team Corporation Inc.,Not hiring,Work from home,1 Month," 1,000 "
Marketing,Scinuvo Consumer Products LLP,Not hiring,Navi Mumbai,5 Months," 20,000 "
DevOps,Program Warehouse,Not hiring,Work from home,6 Months," 1,000 "
Brand Marketing,The Indi-Mums Limited,Not hiring,Work from home,3 Months," 5,000-10,000 "
AI/ML Engineer,Isourse,Actively hiring,Delhi,6 Months," 20,000 "
Social Media Marketing,Purezen Health Solutions Private Limited,Actively hiring,Work from home,4 Months," 7,500 "
Content & E-Commerce Management,Rajan Gaur,Not hiring,Work from home,3 Months," 3,000 "
Hotel Management (Food & Beverage Production),Desertfox Recruitment,Not hiring,Pune,6 Months," 10,000 "
Online Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Bangalore                                                            (Hybrid),2 Months," 1,000 /week +  Incentives"
Product Management,React Labs Private Limited,Actively hiring,Bangalore,3 Months," 25,000-30,000 "
Business Development (Sales),Jairaj Builders,Not hiring,Kochi,6 Months," 5,000-12,000 "
Live Operations,Transweb Educational Service Private Limited,Not hiring,Work from home,6 Months," 8,000 "
Social Media Marketing,Moneyfrog Financial Services Private Limited,Not hiring,Mumbai,6 Months," 8,000 "
Ad Sales,News Nama,Not hiring,Work from home,1 Month," 1,000  +  Incentives"
Pre-Sales Research Specialist,Avasar,Not hiring,Work from home,3 Months," 3,000 "
Investment Banker,APCOLLP (Formally Aniket Prateek & Co.),Not hiring,Noida,6 Months," 7,000 "
Data Entry,Arré,Not hiring,Mumbai,2 Months," 5,000 "
Project Management,Heliverse,Actively hiring,Work from home,2 Months," 10,000-15,000 "
Graphic Design,IGRAND IT Solutions Private Limited,Not hiring,Hyderabad,6 Months," 5,000 "
Content Writing,SaaS Mantra,Not hiring,Chennai,2 Months," 15,000 "
Digital Marketing,GMG Technotrades Private Limited,Not hiring,Nagpur,6 Months," 5,000 "
Sales,Deskera Systems India Private Limited,Not hiring,Bangalore,3 Months," 20,000 "
Administration,Vision Oversea Study,Not hiring,Kochi                                                            (Hybrid),3 Months," 2,000 "
Personal Assistant,WiseVision Realty Private Limited,Not hiring,Ahmedabad                                                            (Hybrid),3 Months," 5,000 "
UX/UI Design,Brandshark,Actively hiring,Bangalore,3 Months," 10,000 "
Search Engine Optimization (SEO),The Stratup,Not hiring,Bangalore,3 Months," 3,000  +  Incentives"
Event Management,Vidhyashala,Actively hiring,Work from home,1 Month," 4,000  +  Incentives"
Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 3,000  +  Incentives"
AWS Developer,Request IT Support,Actively hiring,Work from home,6 Months," 16,000 "
HR Consultant,SoAIVerse And Media Private Limited,Not hiring,Indore,6 Months," 8,000  +  Incentives"
Back Office Executive,LA Technologies India Private Limited,Not hiring,Mumbai,6 Months," 10,000 "
Graphic Design,"The Flying Panda (London, United Kingdom)",Actively hiring,Work from home,6 Months," 10,000 "
Tour Guide Delhi (English/Spanish),Nine Tours,Not hiring,Delhi,6 Months," 5,000 "
Operations,Yogesh Pingle,Not hiring,Pune,2 Months," 5,000 "
Telecalling,UPEDGE ONLINE,Not hiring,Work from home,2 Months," 3,000  +  Incentives"
Talent Acquisition,The OmniJobs,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Content Curator,Jarurat Care,Actively hiring,Work from home,4 Months,Unpaid
Content Development (English),Byline Learning Solutions LLP,Not hiring,Pune,3 Months," 10,000  +  Incentives"
Human Resources (HR),EdLernity Tech OPC Private Limited,Actively hiring,Work from home,2 Months," 1,000  +  Incentives"
Content Writing,Universal Tribes,Actively hiring,Work from home,3 Months," 1,000 "
Hindi Transcription Specialist,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Hindi Audio Transcription Associate,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Bengali Transcription Expert,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Bengali Language Transcriptionist,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Telugu Transcription Analyst,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Social Media,Texas School Of Mental Health LLC.,Not hiring,Pune,3 Months," 3,000 "
Marathi Language Transcriber,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Telecalling,GVM Infotech,Not hiring,Bangalore,2 Months," 8,000 "
Facebook Marketing,Therapy Software Pvt Limited,Actively hiring,Work from home,3 Months," 10,000 "
Mobile App Development,Therapy Software Pvt Limited,Actively hiring,Work from home,1 Month," 10,000 "
Blockchain Development,"Swissmote, Inc. (San Francisco, United States)",Actively hiring,Work from home,1 Month,$ 700 
Front End Development,"Swissmote, Inc. (San Francisco, United States)",Actively hiring,Work from home,1 Month,$ 600 
Graphic Design,Nicologix Technologies And Consulting,Not hiring,Noida                                                            (Hybrid),3 Months," 5,000 "
Full Stack Development,"Swissmote, Inc. (San Francisco, United States)",Actively hiring,Work from home,1 Month,$ 600 
Social Media Marketing,"Swissmote, Inc. (San Francisco, United States)",Actively hiring,Work from home,1 Month,$ 200 
Data Automation,Heavenly Secrets Private Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Human Resources (HR),Crompton Greaves Consumer Limited,Not hiring,Mumbai,6 Months," 20,000-25,000 "
Reactjs Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months," 15,000 "
Recruitment,Omkar Realtors & Developers Limited,Not hiring,Mumbai,6 Months," 15,000 "
Virtual Proofreading & Client Interaction,Internshala,Actively hiring,Work from home,6 Months," 14,445 "
Operations Associate (Management),Sutra,Not hiring,Mumbai,3 Months," 2,000-5,000 "
Law/Legal,LawDocs,Not hiring,Jaipur,6 Months,Unpaid
Video Editing/Making,Marketing+,Not hiring,Work from home,3 Months," 8,000 "
Campus Ambassador,Indian School Of Business And Finance,Not hiring,Work from home,3 Months,Performance Based
Database Building/Management,Jyoti K,Not hiring,Work from home,6 Months," 2,500-3,000 "
Node.js Development,Educase India,Actively hiring,Work from home,6 Months," 7,500 "
Business Development (Sales),The Tann Mann Foundation,Not hiring,Work from home,3 Months,Unpaid
Human Resources (HR),"Raja Professionals Inc (Montreal, Canada)",Actively hiring,Work from home,6 Months,$ 60 
Campus Ambassador,Task Crafters,Not hiring,"Kolkata, Mumbai",1 Month,Performance Based
Electrical Engineering,Sustenergy Foundation,Not hiring,Kottayam                                                            (Hybrid),1 Week,Unpaid
Campus Ambassador,Bombay Trophy,Not hiring,Mumbai,3 Months,Performance Based
Fundraising,Aasra Innovations And Multipurpose Foundation,Not hiring,Work from home,2 Months,Unpaid
Creative Design,Athira S Kumar,Not hiring,"Karur, Thrissur, Kochi                                                            (Hybrid)",6 Months," 8,000  +  Incentives"
Video Editing/Making,Eduminatti,Actively hiring,Dehradun,2 Months," 3,000-6,000 "
SEO Content Writer,Webvio Technologies,Not hiring,Kolkata,3 Months," 6,000 "
Market Research,Open Door Education,Actively hiring,Work from home,2 Weeks," 2,000 lump sum"
Business Development (Sales),Gurushala (Pratham Education Foundation),Not hiring,Delhi,6 Months," 12,000 "
Content Writing & Research,Reading Kites,Not hiring,Work from home,2 Months," 5,000-8,000 "
Human Resources (HR),TheCoinRepublic,Not hiring,Bhopal,3 Months," 10,000 "
Mechanical Engineering,Gradtech,Not hiring,Work from home,1 Month," 5,000  +  Incentives"
Architecture,Design Edge,Not hiring,Rourkela,6 Months," 15,000-20,000 "
Customer Service/Customer Support,Proactive For Her,Not hiring,Bangalore,3 Months," 10,000-15,000 "
Operations,Anannt Training Institute,Not hiring,Pune,3 Months," 3,000-10,000 "
Copywriting,Architta Sethu,Not hiring,Work from home,2 Months," 1,000 "
Digital Marketing,SchoTest,Not hiring,Gurgaon,2 Months," 5,000 "
Marketing,MadOverFish,Not hiring,Navi Mumbai,6 Months," 8,000 "
Acting,Rohit Sharma,Not hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",1 Month, 700 /week
Digital Marketing,Gameosophy,Not hiring,Work from home,6 Months," 3,000-5,000 "
Human Resources (HR),Envision Enterprise Solutions,Not hiring,Hyderabad,3 Months," 10,000 "
Telecalling-Pre Sales,Prop Legacy,Not hiring,Work from home,4 Months," 5,000 "
Graphic Design,Grooming Brothers,Not hiring,Work from home,5 Months," 10,000 "
Operations,WhataPortrait.com,Actively hiring,Work from home,6 Months," 8,000 "
Machine Learning,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000 "
Front End Development,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000 "
Content Writing,Inkshed Content Solutions,Not hiring,Work from home,3 Months," 6,000-8,000 "
Marketing,Earth5R,Actively hiring,Work from home,3 Months,Unpaid
Environmental Sciences,Earth5R,Actively hiring,Mumbai,3 Months," 4,000 "
Content Writing,Earth5R,Actively hiring,Work from home,1 Month,Unpaid
Mobile App Development,AVIPL,Not hiring,Work from home,3 Months," 1,000 "
3D Visualizer,Design2reality,Not hiring,Jaipur,6 Months," 10,000-15,000 "
Law/Legal,Expertwings Professional Services,Not hiring,Ranchi,2 Months,Unpaid
Financial Analyst,Zean Lithos And Company Private Limited,Actively hiring,Work from home,2 Months," 10,000 "
Law/Legal,Amar  Saini,Not hiring,Delhi,4 Months,Unpaid
Customer Service/Customer Support,PixalSoft,Not hiring,Work from home,3 Months," 10,000 "
Field Sales,Neeraj Rahi,Not hiring,Work from home,6 Months," 10,000 "
CAD Design,Morecare Mobility,Not hiring,Jaipur,3 Months," 12,000 "
Digital Marketing,Filmymantra,Not hiring,Mumbai,6 Months," 5,000 "
Footwear Designer,VirtualCMO Marketing Private Limited,Not hiring,Work from home,1 Month," 1,000 "
Educational Consultant,Moople Academy Private Limited,Not hiring,Kolkata,6 Months," 7,500 "
Video Editing/Making,Inva Production,Not hiring,Work from home,2 Months," 20,000 "
Video Editing/Making,Encovate,Not hiring,Bangalore,3 Months," 10,000 "
Content Writing,Goa Prism Digital Media,Not hiring,Work from home,6 Months," 3,000  +  Incentives"
Digital Marketing,Sell Old,Not hiring,Mumbai                                                            (Hybrid),6 Months," 6,000-10,000 "
Social Media Marketing,Elev8Now,Not hiring,Work from home,6 Months," 5,000-12,000 "
Video Editing/Making,Vogozo,Not hiring,Work from home,2 Months," 3,000 "
Sales,MBA And Beyond,Not hiring,Work from home,3 Months," 10,000 "
Human Resources (HR),MakeMyTrip,Not hiring,Gurgaon,3 Months," 10,000 "
Business Development (Sales),PAXMORE Realty,Not hiring,Pune                                                            (Hybrid),6 Months," 4,000  +  Incentives"
Media & Public Relations (PR),RK Ki Duniya,Not hiring,Mumbai,5 Months," 5,000-15,000 "
Video Editing/Making,BuzzOnEarth,Not hiring,Work from home,3 Months," 5,000-7,000 "
Industrial And Production Engineering,Geomarine Biotechnologies Private Limited,Not hiring,"Chennai, Tiruvallur, Vellore, Chengalpattu, Kanchipuram, Arakkonam",2 Months," 3,000  +  Incentives"
Digital Marketing,Devtaa Group,Not hiring,Panvel                                                            (Hybrid),3 Months," 8,000  +  Incentives"
Content & E-Commerce Management,Luvcart Online LLP,Not hiring,"Kolkata, Barasat",3 Months," 8,000 "
Web Development,HTL Infotech Private Limited,Not hiring,Noida,6 Months," 3,000-6,000 "
Sales Support,Jungheinrich Lift Truck India Private Limited,Not hiring,Mumbai,6 Months," 15,000 "
Digital Marketing,Yuv Coaching - Enrich Lives Foundation,Not hiring,Mumbai                                                            (Hybrid),1 Month," 1,000 "
Esop,Veritas Actuaries And Consultants,Not hiring,Gurgaon,6 Months," 10,000 "
Influencer Marketing,Buzzoka - Influencer Marketing 2.0,Not hiring,Work from home,1 Month," 5,000 "
Product Design,SaffronAI Wealth,Not hiring,Work from home,2 Months," 10,000-15,000 "
Digital Marketing,Savandara Private Limited,Not hiring,Gurgaon                                                            (Hybrid),3 Months," 5,000 "
Social Media Marketing,GlobeGuidance,Not hiring,Mumbai                                                            (Hybrid),3 Months," 2,500 "
Market Research,Recofy Comms,Not hiring,Bangalore                                                            (Hybrid),2 Months," 10,000 "
Market Research,VETERINARY DIAGNOSTICS PRIVATE LIMITED,Not hiring,"Delhi, Bangalore",2 Weeks," 3,000 /week"
Digital Marketing,UNibeats,Not hiring,Hyderabad                                                            (Hybrid),3 Months," 2,000 "
Social Media Marketing,Wane Media,Not hiring,Work from home,3 Months, 250 /week +  Incentives
UX/UI Design,Designcapital,Not hiring,Work from home,6 Months," 5,000  +  Incentives"
Product Design,Bytescale Studio,Not hiring,Work from home,2 Months," 20,000-35,000 "
Video Editing/Making,Create TuffMedia,Not hiring,Work from home,3 Months," 10,000 "
Fundraising,National Human Rights Security Bureau,Not hiring,Work from home,1 Month," 1,000 lump sum +  Incentives"
Digital Marketing,Webgi Solutions,Not hiring,Work from home,6 Months," 2,000-2,500 "
MCQ Coordinator,PSYCHO DIDI,Not hiring,Work from home,3 Months," 1,500 "
UI/UX Design,Jaishil J,Not hiring,Work from home,2 Months," 6,000 lump sum +  Incentives"
Marketing,Uravu Labs,Not hiring,Bangalore,6 Months," 20,000 "
Full Stack Development,Hue Logics,Not hiring,Pune,6 Months," 3,500-8,000 "
Social Media Marketing,Hot Fuego India Pvt. Ltd.,Not hiring,Pune,3 Months," 10,000 "
Management trainee,Steaming Foodworks Pvt Ltd,Not hiring,Delhi,2 Months," 15,000 "
Business Strategy,BASIL,Not hiring,Gurgaon,3 Months," 20,000 "
Social Media,Khenshu,Not hiring,Bangalore,6 Months," 10,000 "
Psychology,Lolo,Not hiring,Work from home,2 Months," 5,000  +  Incentives"
Business Development (Sales),Altius,Not hiring,Bangalore,4 Months," 10,000  +  Incentives"
Graphic Design,BOXIFIED Enterprises,Not hiring,Work from home,2 Months," 4,000-6,000 "
Content Writing,Namrata Maidkar,Not hiring,Work from home,6 Months," 1,000 "
Video Editing/Making,Kuvera,Not hiring,Bangalore,6 Months," 10,000 "
Client Servicing,JucyGifts,Not hiring,Mumbai,6 Months," 10,000 "
Game Master & Social Media Management,Now Boarding,Not hiring,Bangalore,3 Months," 10,000-12,500 "
Product Management,Pediaverse Learning Private Limited,Not hiring,Work from home,2 Months," 1,000  +  Incentives"
Receptionist,Ayursoul Healthcare,Not hiring,Noida,4 Months," 5,000-10,000 "
Python Development,Grozoom Ventures Technology Private Limited,Not hiring,Work from home,1 Month," 20,000 "
Marketing,The Job Shop,Not hiring,Mumbai,6 Months," 8,000 "
Social Media Marketing,Ivanooo,Not hiring,Work from home,6 Months," 5,000 "
